remainBal,balF,purDone,oneOffPur,insPur,cashAdv,purF,oneOffPurF,insPurF,cashAdvF,cashAdvTRX,purTRX,creditLim,pymtDone,minPymt,fullPymtPCT,tenure
40.9007,0.8182,95.4,0.0,95.4,0.0,0.1667,0.0,0.0833,0.0,0,2,1000.0,201.8021,139.5098,0.0,12
3202.4674,0.9091,0.0,0.0,0.0,6442.9455,0.0,0.0,0.0,0.25,4,0,7000.0,4103.0326,1072.3402,0.2222,12
2495.1489,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.0667,627.2848,0.0,12
1666.6705,0.6364,1499.0,1499.0,0.0,205.788,0.0833,0.0833,0.0,0.0833,1,1,7500.0,0.0,864.2065,0.0,12
817.7143,1.0,16.0,16.0,0.0,0.0,0.0833,0.0833,0.0,0.0,0,1,1200.0,678.3348,244.7912,0.0,12
1809.8288,1.0,1333.28,0.0,1333.28,0.0,0.6667,0.0,0.5833,0.0,0,8,1800.0,1400.0578,2407.246,0.0,12
627.2608,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.3143,198.0659,1.0,12
1823.6527,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.0651,532.034,0.0,12
1014.9265,1.0,861.49,661.49,200.0,0.0,0.3333,0.0833,0.25,0.0,0,5,7000.0,688.2786,311.9634,0.0,12
152.226,0.5455,1281.6,1281.6,0.0,0.0,0.1667,0.1667,0.0,0.0,0,3,11000.0,1164.7706,100.3023,0.0,12
1293.1249,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301,2172.6978,0.0,12
630.7947,0.8182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.6186,155.5491,0.0,12
1516.9286,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.9167,0.0,0,26,3000.0,608.2637,490.207,0.25,12
921.6934,1.0,2137.93,419.96,1717.97,0.0,0.75,0.1667,0.75,0.0,0,26,7500.0,1655.8914,251.138,0.0833,12
2772.7727,1.0,0.0,0.0,0.0,346.8114,0.0,0.0,0.0,0.0833,1,0,3000.0,805.648,989.9629,0.0,12
6886.2132,1.0,1611.7,0.0,1611.7,2301.4913,0.5,0.0,0.5,0.1667,4,11,8000.0,1993.4393,2109.9065,0.0,12
2072.0744,0.875,0.0,0.0,0.0,2784.2747,0.0,0.0,0.0,0.25,3,0,3000.0,391.9746,376.5796,0.0,8
41.0895,0.4545,519.0,0.0,519.0,0.0,0.4167,0.0,0.3333,0.0,0,8,2500.0,254.5907,73.2032,0.25,12
1989.0722,1.0,504.35,166.0,338.35,0.0,0.6667,0.0833,0.5833,0.0,0,9,13000.0,1720.8374,744.6134,0.0,12
3577.9709,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.9805,12465.5494,0.0,12
2016.6847,1.0,176.68,0.0,176.68,0.0,0.6667,0.0,0.6667,0.0,0,8,2000.0,223.0686,13557.2973,0.0,12
6369.5313,1.0,6359.95,5910.04,449.91,229.0282,1.0,0.9167,1.0,0.3333,6,92,11250.0,2077.9591,1659.7751,0.0,12
132.3422,0.6364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.63,86.3296,0.0,12
3800.1514,0.8182,4248.35,3454.56,793.79,7974.4156,1.0,0.0833,0.9167,0.3333,13,13,9000.0,9479.0438,1425.4265,0.0,12
5368.5712,1.0,0.0,0.0,0.0,798.9499,0.0,0.0,0.0,0.3636,4,0,6000.0,1422.7267,1657.0029,0.0,11
169.7817,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.3061,163.0055,0.0,12
1615.9672,1.0,102.0,102.0,0.0,244.8405,0.1667,0.1667,0.0,0.25,5,2,1700.0,890.1788,971.1832,0.0,12
125.6948,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.7737,164.7488,0.0,12
7152.8644,1.0,387.05,204.55,182.5,2236.1453,0.6667,0.1667,0.4167,0.8333,16,8,10500.0,1601.4483,1648.8513,0.0,12
22.0635,1.0,100.0,0.0,100.0,0.0,0.4167,0.0,0.4167,0.0,0,5,6900.0,160.7678,159.6844,0.0,12
12136.22,1.0,3038.01,1013.2,2024.81,3183.5833,1.0,0.1667,1.0,0.5,10,64,13000.0,4230.3235,3292.015,0.0,12
1162.2733,1.0,1347.71,400.0,947.71,175.8158,1.0,0.0833,1.0,0.1667,2,45,6000.0,645.9983,256.849,0.0,12
6732.8231,1.0,324.95,324.95,0.0,1189.5338,0.0833,0.0833,0.0,0.1667,3,3,10500.0,1720.1189,2506.7454,0.0,12
125.6605,1.0,636.79,636.79,0.0,0.0,0.9167,0.9167,0.0,0.0,0,11,1200.0,423.4497,196.3019,0.3,12
3517.1016,0.7273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.6078,17862.5583,0.0,12
1656.3508,1.0,0.0,0.0,0.0,99.2644,0.0,0.0,0.0,0.0833,1,0,1800.0,351.5002,634.5693,0.0,12
7427.0769,1.0,0.0,0.0,0.0,8873.375,0.0,0.0,0.0,0.7273,11,0,9000.0,1636.3616,1986.8436,0.0,11
4047.4808,1.0,2380.55,1642.17,738.38,1697.6609,0.75,0.5,0.75,0.3333,7,41,5000.0,1617.8944,1541.1416,0.0,12
6269.4181,1.0,204.0,204.0,0.0,2925.6999,0.0833,0.0833,0.0,0.3333,12,2,9000.0,1237.1117,2049.4088,0.0,12
1411.6022,0.4545,963.24,963.24,0.0,6173.6829,0.0833,0.0833,0.0,0.3333,6,6,7500.0,20071.0754,719.949,0.3333,12
663.4478,0.7273,0.0,0.0,0.0,3133.0639,0.0,0.0,0.0,0.25,3,0,1800.0,3067.0578,283.3334,0.1667,12
784.8898,0.9091,1526.59,786.3,740.29,2188.4196,0.5833,0.4167,0.3333,0.25,11,27,3000.0,1262.3097,363.1427,0.1111,12
4104.7108,1.0,203.82,203.82,0.0,0.0,0.0833,0.0833,0.0,0.0,0,1,4500.0,868.2753,1801.2648,0.0,12
1360.7424,1.0,0.0,0.0,0.0,1481.5871,0.0,0.0,0.0,0.0833,1,0,1500.0,378.2942,321.3541,0.0,12
5315.9456,1.0,1525.44,469.8,1055.64,0.0,1.0,0.3333,1.0,0.0,0,20,8500.0,1430.3415,1318.7149,0.0,12
2242.3117,1.0,437.0,97.0,340.0,184.6487,0.3333,0.0833,0.3333,0.1667,2,5,2400.0,0.0,864.2065,0.0,12
474.4471,0.5,109.74,0.0,109.74,1013.6596,0.375,0.0,0.25,0.125,1,3,1700.0,176.013,147.1998,0.0,8
3910.1112,1.0,0.0,0.0,0.0,1980.8732,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,864.2065,0.0,12
229.8672,1.0,2390.6,1402.93,987.67,0.0,1.0,0.6667,1.0,0.0,0,87,3300.0,2543.9536,175.6578,0.9167,12
863.8098,1.0,507.5,507.5,0.0,695.0972,0.1667,0.1667,0.0,0.0833,2,3,4000.0,587.8665,286.4487,0.0833,12
4931.3319,1.0,901.42,646.07,255.35,8530.6486,0.625,0.375,0.25,0.875,37,9,12000.0,8113.2973,1012.416,0.0,8
1078.8886,1.0,3107.85,2221.74,886.11,0.0,0.6667,0.5833,0.5,0.0,0,18,2500.0,1399.8283,1322.4466,0.0,12
1565.6811,1.0,0.0,0.0,0.0,321.3591,0.0,0.0,0.0,0.25,3,0,3500.0,691.8253,581.4819,0.0,12
464.6742,0.8889,1979.22,1979.22,0.0,1981.2655,0.6667,0.6667,0.0,0.1111,1,11,3000.0,3110.0527,132.4461,0.2,9
6.6605,0.6364,310.0,0.0,310.0,0.0,0.6667,0.0,0.6667,0.0,0,8,1000.0,417.0168,864.2065,0.0,12
1311.996,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,864.2065,0.0,12
3625.2181,1.0,313.27,313.27,0.0,668.4687,0.25,0.25,0.0,0.4167,5,4,4000.0,0.0,864.2065,0.0,12
2386.3306,1.0,5217.62,4789.09,428.53,0.0,0.9167,0.9167,0.5,0.0,0,42,7500.0,5678.7296,1311.5149,0.0833,12
3971.1388,1.0,0.0,0.0,0.0,224.5755,0.0,0.0,0.0,0.1818,3,0,4000.0,764.9387,1600.2122,0.0,11
5493.9041,1.0,229.0,0.0,229.0,970.5913,0.4167,0.0,0.3333,0.3333,4,6,6000.0,2110.557,1895.0262,0.0,12
1879.114,0.7273,113.0,113.0,0.0,0.0,0.1667,0.1667,0.0,0.0,0,2,6500.0,3509.6866,548.1058,0.0,12
1555.7937,1.0,66.2,66.2,0.0,0.0,0.0833,0.0833,0.0,0.0,0,1,1600.0,338.0837,837.2157,0.0,12
809.583,0.9091,0.0,0.0,0.0,3819.6725,0.0,0.0,0.0,0.5455,7,0,4150.0,4372.1486,241.6454,0.0909,11
7.1524,0.0909,840.0,840.0,0.0,0.0,0.0833,0.0833,0.0,0.0,0,1,1600.0,0.0,864.2065,0.0,12
1923.8868,1.0,1887.64,0.0,1887.64,1605.9494,1.0,0.0,1.0,0.0833,4,61,1850.0,3688.046,3266.9968,0.0833,12
1758.06,1.0,412.33,325.21,87.12,0.0,0.5833,0.3333,0.1667,0.0,0,11,1800.0,777.4516,897.9054,0.0,12
809.8475,0.875,0.0,0.0,0.0,908.4236,0.0,0.0,0.0,0.125,1,0,1500.0,146.0748,179.4125,0.0,8
1576.305,1.0,0.0,0.0,0.0,382.9085,0.0,0.0,0.0,0.4167,6,0,2500.0,540.0222,352.8838,0.0,12
3990.5236,1.0,263.5,190.6,72.9,0.0,0.6667,0.0833,0.5833,0.0,0,8,6000.0,6876.8362,1001.6074,0.0833,12
1699.4355,1.0,1363.69,1363.69,0.0,0.0,0.3333,0.3333,0.0,0.0,0,4,1700.0,1623.8163,923.5059,0.0,12
5487.6837,1.0,419.1,0.0,419.1,625.3994,0.9167,0.0,0.8333,0.3333,4,11,6250.0,1288.2149,2180.8819,0.0,12
2990.4222,0.9091,4523.27,1664.09,2859.18,27296.4858,0.6667,0.5,0.5833,0.8333,27,33,7000.0,28232.6945,1107.0308,0.4545,12
656.013,1.0,0.0,0.0,0.0,1474.3499,0.0,0.0,0.0,0.125,3,0,7000.0,910.458,140.9832,0.25,8
1808.9724,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,2250.0,889.0174,622.7577,0.0,10
532.3345,0.9091,791.94,516.64,275.3,0.0,0.2727,0.0909,0.1818,0.0,0,7,6000.0,1305.1773,175.5103,0.0,11
5860.4336,1.0,561.87,249.5,312.37,0.0,0.8333,0.1667,0.75,0.0,0,14,6000.0,1990.045,2161.4283,0.0,12
1727.6384,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0,17,11000.0,2959.9205,623.657,0.0,12
578.8097,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.6667,0.0,0,8,1500.0,1438.9106,190.1865,0.0,12
1205.7167,1.0,0.0,0.0,0.0,38.3258,0.0,0.0,0.0,0.0833,1,0,1200.0,29.2787,8242.6877,0.0,12
6593.8206,1.0,388.66,388.66,0.0,4621.9346,0.5833,0.5833,0.0,0.4167,7,7,7000.0,1624.5831,2503.4023,0.0,12
17.3576,0.9091,244.85,40.21,204.64,0.0,0.6667,0.1667,0.5833,0.0,0,13,5000.0,357.8021,121.5234,0.1818,12
81.5847,0.2727,0.0,0.0,0.0,2985.3,0.0,0.0,0.0,0.1667,5,0,9500.0,116.569,164.6921,0.0,12
3.7863,0.6364,133.05,28.2,104.85,0.0,0.4167,0.1667,0.25,0.0,0,5,12000.0,210.0534,99.5337,0.4444,12
42.4644,0.5455,396.0,0.0,396.0,0.0,0.5,0.0,0.4167,0.0,0,12,1200.0,725.6062,140.8095,1.0,12
1935.3625,1.0,4915.6,4515.34,400.26,293.8448,1.0,1.0,0.3333,0.0833,1,50,9000.0,4921.0669,594.7567,0.0,12
134.9172,1.0,1247.8,1247.8,0.0,0.0,1.0,1.0,0.0,0.0,0,22,16500.0,1275.2294,171.3572,1.0,12
7069.9504,1.0,1603.78,1445.14,158.64,5626.004,1.0,0.8333,1.0,0.75,23,23,11000.0,4589.8739,1876.263,0.0,12
8181.2511,1.0,2258.01,1318.78,939.23,5251.2289,1.0,0.75,1.0,0.75,21,60,13500.0,3021.5758,2074.5815,0.0,12
4037.3057,1.0,45.0,45.0,0.0,104.2381,0.0833,0.0833,0.0,0.0833,1,1,4500.0,1073.8449,968.9413,0.0,12
6110.2653,1.0,0.0,0.0,0.0,2717.2539,0.0,0.0,0.0,0.4167,14,0,6500.0,1502.2056,2864.3803,0.0,12
9381.2551,1.0,5100.07,1147.83,3952.24,370.7372,1.0,0.25,0.9167,0.0833,1,46,9000.0,6409.4963,9827.0453,0.0,12
1977.0071,1.0,1032.04,226.9,805.14,4335.9192,0.9091,0.0909,0.8182,0.5455,21,17,4000.0,3056.425,910.7075,0.0909,11
1321.4761,1.0,45.65,45.65,0.0,495.6579,0.0833,0.0833,0.0,0.0833,1,1,1800.0,440.8404,312.5606,0.0,12
1307.7178,1.0,405.6,405.6,0.0,0.0,0.1667,0.1667,0.0,0.0,0,2,2400.0,0.0,864.2065,0.0,12
